#Name,RA,DEC,GLON,GLAT,pmRA,pmDE,plx,Dist,logt,ref
Sim623,231.24212286010155,-54.01123234923573,324.35,2.35,-1.82,-4.48,"",897.61,7.75,Sim2019
Sim626,234.81260569024366,-55.38629243344433,325.25,0.04,-2.72,-5.3,"",724.16,7.9,Sim2019
liu1178,228.87183294471538,-59.38915157107443,320.359,-1.482,-4.469,-3.527,0.296,"",0.004,LiuPang2019
liu1177,228.64707328180714,-59.68167045811334,320.109,-1.672,-4.168,-3.505,0.297,"",0.186,LiuPang2019
liu434,240.41712187391428,-52.11639459169359,329.879,0.511,-4.909,-5.366,0.398,"",2.75,LiuPang2019
NGC_5822,226.05099487304688,-54.36600112915039,321.57,3.63,-7.422,-5.534,1.187,822.3,"",CantatGaudin
NGC_6031,241.90699768066406,-54.013999938964844,329.287,-1.502,-2.134,-3.034,0.534,1777.4,"",CantatGaudin
UBC533,230.299442032,-53.17530364963,324.33945,3.3557684,-1.703,-1.334,0.7954,"","",CastroGinard
UFMG45,239.79141235351562,-55.7990608215332,327.1506,-1.9913863,-2.548,-2.908,0.314,1585.0,8.8,Ferreira2020
NGC_5999,238.047083,-56.488056,326.0,-1.94,-3.374,-4.216,0.326,1820.0,8.5,Ferreira2019
UFMG_1,236.602083,-56.808056,325.19,-1.7,-1.634,-3.22,0.357,1580.0,8.9,Ferreira2019
UFMG_2,237.597083,-55.958889,326.14,-1.37,-4.42,-3.068,0.351,1480.0,9.15,Ferreira2019
UFMG_3,238.109167,-55.421944,326.7,-1.13,-1.04,-2.238,0.461,1510.0,8.0,Ferreira2019

